task_id,box_ensemble_index,english_question,codex_conditional_str
37,6,"After some time has passed, will there be any red blocks remaining on the platform?","filter(isOnPlatform, filter(isRed, finalBoxes)).length > 0"
38,6,"After some time has passed, will there be more red blocks to the left of the platform than purple blocks to the right of the platform?","filter(isLeftOfPlatform, filter(isRed, finalBoxes)).length > filter(isRightOfPlatform, filter(isPurple, finalBoxes)).length"
39,6,"After some time has passed, will most of the blocks have stayed on the platform?","filter(isOnPlatform, finalBoxes).length > filter(isNotOnPlatform, finalBoxes).length"
40,6,"After some time has passed, will there be any purple blocks to the right of the platform?","filter(isRightOfPlatform, filter(isPurple, finalBoxes)).length > 0"
41,6,"After some time has passed, will the number of blocks on the platform be divisible by 3?","filter(isOnPlatform, finalBoxes).length % 3 == 0"
42,6,"After some time has passed, will the majority of the large blocks be on the platform?","filter(isOnPlatform, filter(isLarge, finalBoxes)).length > filter(isNotOnPlatform, filter(isLarge, finalBoxes)).length"
43,7,"After some time has passed, will there be any red blocks remaining on the platform?","filter(isOnPlatform, filter(isRed, finalBoxes)).length > 0"
44,7,"After some time has passed, will there be more red blocks to the left of the platform than purple blocks to the right of the platform?","filter(isLeftOfPlatform, filter(isRed, finalBoxes)).length > filter(isRightOfPlatform, filter(isPurple, finalBoxes)).length"
45,7,"After some time has passed, will most of the blocks have stayed on the platform?","filter(isOnPlatform, finalBoxes).length > filter(isNotOnPlatform, finalBoxes).length"
46,7,"After some time has passed, will there be any purple blocks to the right of the platform?","filter(isRightOfPlatform, filter(isPurple, finalBoxes)).length > 0"
47,7,"After some time has passed, will the number of blocks on the platform be divisible by 3?","filter(isOnPlatform, finalBoxes).length % 3 == 0"
48,7,"After some time has passed, will the majority of the large blocks be on the platform?","filter(isOnPlatform, filter(isLarge, finalBoxes)).length > filter(isNotOnPlatform, filter(isLarge, finalBoxes)).length"
